metric,value,note
Current condition intervals,932,Previously constructed strict microplot cohort; unweighted records.
Current physical plots,913,Multiple conditions may share one physical plot.
Baseline seedling detections,677,Aggregate species tallies; seedlings are not individually linked.
New live maple saplings,171,SPCD=318; STATUSCD=1; 1<=DIA<5; RECONCILECD=1; PREV_TRE_CN null.
Conditions with new live maple saplings,101,Endpoint is new sapling tally within an already sampled forest condition.
Counties with new live maple saplings,23,Event support may be geographically concentrated.
Recruit conditions with baseline seedling detection,101,Not a probability that an individual seedling survives or grows.
Seedling-loss conditions with new saplings,1,Seedling disappearance and verified new sapling tally may coexist.
Tagged baseline maple saplings,1593,SPCD=318; STATUSCD=1; 1<=DIA<5 at baseline.
Conditions containing tagged baseline saplings,573,Sapling records are clustered within conditions and plots.
Physical plots containing tagged baseline saplings,570,Tree record count is not an independent sample size.
Unlinked baseline saplings,0,Join on PREV_TRE_CN and expected follow-up PLOT CN; missing links never imply death.
Linked saplings on a different condition,0,Frame comparability diagnostic.
Tagged saplings recorded alive at follow-up,1255,"Includes stems reidentified to another species, which are flagged separately."
Tagged saplings recorded dead at follow-up,337,Recorded fate; does not establish cause of death or distinguish treatment effects.
Tagged saplings recorded removed at follow-up,0,Recorded removal status is distinct from recorded death.
Tagged saplings no longer in sample,1,Must interpret RECONCILECD separately from death.
Survivors reidentified to another species,3,Retain as identity uncertainty; exclude or harmonize explicitly in a species-specific model.
Tagged survivors reaching at least 5 inches,59,"Individual diameter-stage progression, not proof of canopy recruitment."
Corrected sapling-detection-loss conditions,76,A sampled zero-live-tree visit is counted as sapling absence.
Sapling-loss conditions with a graduated survivor,15,Sapling disappearance may reflect growth out of the size class.
Graduated stems in sapling-loss conditions,19,Survivor diameter >=5 inches at follow-up.
Sapling-loss conditions with species reidentification,1,Taxonomic corrections can change species detection.
Survivors with negative diameter difference,13,Measurement error and remeasurement protocols require audit before a growth model.
Survivors with zero diameter difference,347,Rounded diameter differences; interval length varies.
Median annual survivor diameter difference inches,0.014814814814814795,Descriptive only; conditions on survival and includes reidentified stems.
Verified follow-up conditions with no live TREE records,1,Accessible forest and positive shared microplot footprint; inspect BALIVE and tally status below.
